epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,744.677,1.83696,3.41681,1.40555,0.43999,0.05119,0.04255,0.02786,2.20518,4.59717,1.6636,0.08416,0.00016,0.00016
2,1492.47,1.5152,1.98583,1.21924,0.41559,0.04851,0.045,0.02948,2.11542,4.2644,1.68483,0.0673137,0.000313665,0.000313665
3,2208.85,1.34492,1.5725,1.11468,0.39719,0.04664,0.08915,0.0577,2.17006,4.73228,1.69756,0.0504505,0.0004505,0.0004505
4,2919.52,1.39256,1.48809,1.0994,0.5401,0.12771,0.14556,0.09321,1.99648,3.7616,1.51053,0.0335705,0.000570505,0.000570505
5,3628.3,1.22075,1.20484,1.02001,0.50319,0.14931,0.16205,0.10405,1.89037,3.95779,1.53832,0.0166737,0.00067368,0.00067368
6,4429.25,1.13864,1.12632,1.0302,0.8152,0.15088,0.20138,0.12699,1.85191,3.55663,1.53279,0.0007525,0.0007525,0.0007525
7,5530.81,1.17113,1.17657,1.03762,0.49683,0.16773,0.18886,0.1276,1.93279,4.15448,1.47235,0.000703,0.000703,0.000703
8,6578.67,1.20622,0.9777,1.02518,0.77688,0.15685,0.20119,0.12956,1.95547,4.25511,1.5132,0.0006535,0.0006535,0.0006535
9,7537.42,1.02471,0.90218,0.94624,0.74083,0.18008,0.21495,0.14549,1.92015,3.56771,1.47852,0.000604,0.000604,0.000604
10,8436.32,1.06017,0.89841,1.03493,0.73551,0.20007,0.22368,0.16425,1.71712,2.95395,1.34878,0.0005545,0.0005545,0.0005545
11,9135.45,0.98118,0.78649,0.98537,0.77679,0.18758,0.2318,0.17077,1.69242,3.03927,1.37929,0.000505,0.000505,0.000505
12,9873.44,0.90924,0.72386,0.9513,0.70793,0.20979,0.23707,0.16957,1.69166,3.20977,1.36096,0.0004555,0.0004555,0.0004555
13,10711.4,0.94104,0.72128,0.94942,0.90561,0.18999,0.2504,0.19138,1.65525,3.11345,1.30929,0.000406,0.000406,0.000406
14,11394.3,0.90975,0.77319,0.90841,0.78693,0.18467,0.2485,0.1868,1.67155,3.32607,1.30632,0.0003565,0.0003565,0.0003565
15,12191,0.95098,0.70097,0.92471,0.85749,0.1901,0.24215,0.18443,1.6091,3.44498,1.28726,0.000307,0.000307,0.000307
16,13016.9,0.88551,0.65607,0.9527,0.95263,0.18664,0.23926,0.18503,1.65587,3.64081,1.32066,0.0002575,0.0002575,0.0002575
17,13778,0.7613,0.5979,0.87812,0.71919,0.19921,0.24679,0.19598,1.66372,3.60899,1.31547,0.000208,0.000208,0.000208
18,14509.6,0.71383,0.56581,0.84646,0.84872,0.19437,0.24502,0.19661,1.65105,3.48056,1.28965,0.0001585,0.0001585,0.0001585
19,15243.7,0.83249,0.6226,0.92979,0.79185,0.19921,0.24371,0.19756,1.62508,3.40928,1.27889,0.000109,0.000109,0.000109
20,15927.6,0.74097,0.53377,0.8631,0.76945,0.20036,0.24429,0.19489,1.61591,3.33842,1.27661,5.95e-05,5.95e-05,5.95e-05
