epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,760.104,1.78491,3.06332,1.26714,0.80693,0.00666,0.07235,0.03975,1.79063,5.55598,1.19968,0.000411184,0.000411184,0.000411184
2,1467.59,1.7513,2.36588,1.24923,0.63286,0.06856,0.05841,0.03218,1.87894,4.82873,1.30465,0.000811459,0.000811459,0.000811459
3,2172.16,1.78836,2.33632,1.28588,0.461,0.10067,0.07874,0.03817,1.84145,7.58781,1.263,0.00119523,0.00119523,0.00119523
4,2869.69,1.78709,2.28231,1.29385,0.72695,0.05042,0.05302,0.02706,1.88434,4.84118,1.32388,0.00117575,0.00117575,0.00117575
5,3571.99,1.80859,2.26598,1.28605,0.0993,0.09173,0.06646,0.0383,1.85523,4.07217,1.31261,0.001151,0.001151,0.001151
6,4277.54,1.74352,2.17299,1.27363,0.13547,0.14006,0.07856,0.04366,1.9166,4.3273,1.30026,0.00112625,0.00112625,0.00112625
7,4978,1.76342,2.09212,1.2597,0.62929,0.10459,0.0785,0.04233,1.82377,4.05982,1.29544,0.0011015,0.0011015,0.0011015
8,5677.26,1.71023,1.99264,1.24341,0.50617,0.08434,0.08176,0.04641,1.72995,4.78017,1.22469,0.00107675,0.00107675,0.00107675
9,6375.58,1.71212,2.00201,1.22581,0.1457,0.14332,0.09845,0.05572,1.72698,3.27162,1.20765,0.001052,0.001052,0.001052
10,7071.87,1.69065,1.89677,1.2192,0.19462,0.08771,0.06562,0.04278,1.70479,4.05058,1.20109,0.00102725,0.00102725,0.00102725
11,7769.42,1.64068,1.87118,1.202,0.30895,0.11317,0.09024,0.05358,1.76403,3.85047,1.24057,0.0010025,0.0010025,0.0010025
12,8467.49,1.63736,1.85012,1.19442,0.43902,0.17421,0.16807,0.08367,1.72204,2.96517,1.23425,0.00097775,0.00097775,0.00097775
13,9165.37,1.63442,1.84264,1.2053,0.19331,0.12488,0.11565,0.06633,1.76656,3.10746,1.27166,0.000953,0.000953,0.000953
14,9864.05,1.62302,1.80686,1.19827,0.15979,0.13899,0.11712,0.06312,1.77249,3.64531,1.21326,0.00092825,0.00092825,0.00092825
15,10570.8,1.5919,1.76195,1.19015,0.5881,0.08838,0.11571,0.06668,1.69204,3.02011,1.20843,0.0009035,0.0009035,0.0009035
16,11268.1,1.58257,1.73455,1.1767,0.1859,0.16226,0.13866,0.07103,1.72915,2.53245,1.23483,0.00087875,0.00087875,0.00087875
17,11969.2,1.57835,1.73402,1.17795,0.32175,0.15448,0.13112,0.07248,1.73298,3.09887,1.25215,0.000854,0.000854,0.000854
18,12668.2,1.53773,1.65195,1.15305,0.48259,0.16827,0.17568,0.09076,1.70009,2.52899,1.21959,0.00082925,0.00082925,0.00082925
19,13367.8,1.51564,1.64493,1.14744,0.24766,0.18226,0.14783,0.0776,1.68301,3.18877,1.22291,0.0008045,0.0008045,0.0008045
20,14074.8,1.52032,1.64527,1.15064,0.18071,0.15792,0.11753,0.0622,1.75699,3.32608,1.2245,0.00077975,0.00077975,0.00077975
21,14776.2,1.52144,1.60487,1.13451,0.26895,0.16457,0.15379,0.08633,1.65141,2.39503,1.22195,0.000755,0.000755,0.000755
22,15479.7,1.50476,1.59916,1.14192,0.26567,0.24935,0.14985,0.08156,1.67667,2.40963,1.21903,0.00073025,0.00073025,0.00073025
23,16180.5,1.47144,1.55188,1.12215,0.33103,0.15285,0.14398,0.07822,1.68661,3.17803,1.21068,0.0007055,0.0007055,0.0007055
24,16882,1.48004,1.53087,1.12342,0.34896,0.15457,0.14311,0.07776,1.6498,2.60298,1.22255,0.00068075,0.00068075,0.00068075
25,17584.5,1.47648,1.51716,1.12357,0.26574,0.15659,0.13476,0.07503,1.67501,4.5492,1.21216,0.000656,0.000656,0.000656
26,18286.4,1.46018,1.49902,1.1058,0.3969,0.13775,0.15548,0.08646,1.64824,3.15341,1.18694,0.00063125,0.00063125,0.00063125
27,18989.8,1.44146,1.45892,1.11518,0.29012,0.16918,0.15817,0.08097,1.70143,3.32983,1.22277,0.0006065,0.0006065,0.0006065
28,19692.1,1.48167,1.45351,1.11213,0.23408,0.21922,0.15776,0.08283,1.631,3.079,1.17666,0.00058175,0.00058175,0.00058175
29,20389.9,1.42749,1.42214,1.108,0.30176,0.21968,0.17833,0.09265,1.67286,2.34841,1.19205,0.000557,0.000557,0.000557
30,21089.7,1.42884,1.43388,1.101,0.2707,0.18619,0.15759,0.08341,1.65347,2.37574,1.19457,0.00053225,0.00053225,0.00053225
31,21789.1,1.407,1.38838,1.0908,0.30664,0.18821,0.1563,0.08973,1.60258,2.40532,1.17884,0.0005075,0.0005075,0.0005075
32,22490.4,1.40029,1.34779,1.08483,0.22619,0.2408,0.17138,0.08991,1.63431,2.59243,1.1511,0.00048275,0.00048275,0.00048275
33,23194.3,1.39989,1.38633,1.08553,0.29138,0.20762,0.16708,0.0881,1.64068,2.34883,1.18311,0.000458,0.000458,0.000458
34,23900.2,1.39912,1.34827,1.08161,0.33992,0.17679,0.1507,0.08187,1.69067,2.72394,1.22149,0.00043325,0.00043325,0.00043325
35,24605.8,1.38102,1.31081,1.07451,0.2737,0.17916,0.13905,0.07494,1.63879,3.56608,1.1737,0.0004085,0.0004085,0.0004085
36,25310.1,1.37453,1.3132,1.07568,0.50498,0.16843,0.18134,0.09362,1.64092,2.26672,1.19509,0.00038375,0.00038375,0.00038375
37,26017.2,1.36543,1.27975,1.06457,0.36683,0.22439,0.18471,0.09332,1.62734,2.52237,1.20429,0.000359,0.000359,0.000359
38,26722.7,1.34537,1.27303,1.05294,0.38699,0.2355,0.20511,0.10032,1.63868,2.14616,1.1944,0.00033425,0.00033425,0.00033425
39,27429.1,1.35734,1.27661,1.05669,0.24143,0.23075,0.18364,0.08915,1.63178,2.49182,1.19121,0.0003095,0.0003095,0.0003095
